Column,Type,Recommended Type,Fitness,Believability,Percentage Missing,Percentage Uniques
pymnt_plan,C,C,0,0,0,100
 initial_list_status,C,C,0,0,0,100
 mths_since_last_major_derog,C,C,0,0,0,100
 policy_code,C,C,0,0,0,100
 application_type,C,C,0,0,0,100
 annual_inc_joint,C,C,0,0,0,100
 dti_joint,C,C,0,0,0,100
 verification_status_joint,C,C,0,0,0,100
 tot_coll_amt,C,C,0,0,0,100
 tot_ cur_bal,C,C,0,0,0,100
 open_acc_6m,C,C,0,0,0,100
 open_il_6m,C,C,0,0,0,100
 open_il_12m,C,C,0,0,0,100
 open_il_24m,C,C,0,0,0,100
 mths_since_rcnt_il,C,C,0,0,0,100
 total_ bal_il,C,C,0,0,0,100
 il_util,C,C,0,0,0,100
 open_rv_12m,C,C,0,0,0,100
 open_rv_24m,C,C,0,0,0,100
 max_bal_bc,C,C,0,0,0,100
 all_util,C,C,0,0,0,100
 total_rev_hi_lim,C,C,0,0,0,100
 inq_fi,C,C,0,0,0,100
 total_cu_tl,C,C,0,0,0,100
 inq_last_12m,C,C,0,0,0,100
 acc_open_past_24mths,C,C,0,0,0,100
 avg_cur_bal,C,C,0,0,0,100
 bc_open_to_buy,C,C,0,0,0,100
 bc_util,C,C,0,0,0,100
 mo_sin_old_il_acct,C,C,0,0,0,100
 mo_sin_old_rev_tl_op,C,C,0,0,0,100
 mo_sin_rcnt_rev_tl_op,C,C,0,0,0,100
 mo_sin_rcnt_tl,C,C,0,0,0,100
 mort_ acc,C,C,0,0,0,100
 mths_since_recent_bc,C,C,0,0,0,100
 mths_since_recent_bc_dlq,C,C,0,0,0,100
 mths_since_recent_inq,C,C,0,0,0,100
 mths_ since_recent_revol_delinq,C,C,0,0,0,100
 num_accts_ever_120_pd,C,C,0,0,0,100
 num_actv_bc_tl,C,C,0,0,0,100
 num_actv_rev_tl,C,C,0,0,0,100
 num_bc_sats,C,C,0,0,0,100
 num_bc_tl,C,C,0,0,0,100
 num_il_tl,C,C,0,0,0,100
 num_op_rev_tl,C,C,0,0,0,100
 num_rev_accts,C,C,0,0,0,100
 num_rev_tl_bal_gt_0,C,C,0,0,0,100
 num_sats,C,C,0,0,0,100
 num_tl_120dpd_2m,C,C,0,0,0,100
 num_tl_30dpd,C,C,0,0,0,100
 num_tl_90g_dpd_24m,C,C,0,0,0,100
 num_tl_op_past_ 12m,C,C,0,0,0,100
 pct_tl_nvr_dlq,C,C,0,0,0,100
 percent_bc_gt_75,C,C,0,0,0,100
 tot_hi_cred_lim,C,C,0,0,0,100
 total_bal_ex_mort,C,C,0,0,0,100
 total_bc_limit,C,C,0,0,0,100
total_il_high_credit_limit ,C,C,0,0,0,100
emp_title,C,C,0,0.2684,6.14,71.28
desc,C,C,0,0.3324,31.67,68.20
title,C,C,0,0.5748,0.02,49.43
zip_code,C,C,0,1,0,0.42
earliest_cr_line,C,C,0,1,0.07,0.26
next_pymnt_d,C,C,0,1,93.37,0.06
last_credit_pull_d,C,C,0,1,0.01,0.02
url,C,C,0,,0,100.00
mths_since_last_delinq,C,N,0.1,1,63.19,
mths_since_last_record,C,N,0.1,1,91.3,
last_pymnt_d,C,C,0.5,1,0.2,0.00
annual_inc,C,N,0.6,1,0.01,
delinq_2yrs,C,N,0.6,1,0.07,
delinq_amnt,C,N,0.6,1,0.07,
recoveries,C,N,0.7,0.3208,0,
collection_recovery_fee,C,N,0.7,0.4132,0,
inq_last_6mths,C,N,0.7,1,0.07,
revol_bal,C,N,0.7,1,0,
out_prncp_inv,C,N,0.7,1,0,
total_rec_late_fee,C,N,0.7,1,0,
addr_state,C,C,0.7,1,0,0.00
out_prncp,C,N,0.7,1,0,
pub_rec,C,C,0.78,1,0.07,0.00
pub_rec_bankruptcies,C,C,0.78,1,3.29,0.00
issue_d,C,C,0.8,1,0,0.00
acc_now_delinq,C,C,0.85,1,0.07,0.00
tax_liens,C,C,0.85,1,0.25,0.00
open_acc,C,N,0.9,1,0.07,
revol_util,C,N,0.9,1,0.22,
total_acc,C,N,0.9,1,0.07,
total_rec_int,C,N,0.9,1,0,
last_pymnt_amnt,C,N,0.9,1,0,
sub_grade,C,C,0.9,1,0,0.00
collections_12_mths_ex_med,C,C,0.9,1,0.35,0.00
chargeoff_within_12_mths,C,C,0.9,1,0.35,0.00
loan_status,C,C,0.95,0,0,0.00
home_ownership,C,C,0.98,1,0,0.00
total_rec_prncp,C,N,1,0.3098,0,
id,C,N,1,1,0,100
member_id,C,N,1,1,0,100
loan_amnt,C,N,1,1,0,
funded_amnt,C,N,1,1,0,
funded_amnt_inv,C,N,1,1,0,
int_rate,C,N,1,1,0,
installment,C,N,1,1,0,
dti,C,N,1,1,0,
total_pymnt,C,N,1,1,0,
total_pymnt_inv,C,N,1,1,0,
term,C,C,1,1,0,0.00
grade,C,C,1,1,0,0.00
emp_length,C,C,1,1,0,0.00
verification_status,C,C,1,1,0,0.00
purpose,C,C,1,1,0,0.00
